% Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

     0    0.000               0               0               0               0;
     1    0.009               0               3               0               0;
     2    0.018               0              16               0               0;
     3    0.027               0              37               0               0;
     4    0.035               0              65               2               0;
     5    0.044               0              99               4               0;
     6    0.053               0             138               8               0;
     7    0.062               0             182              15               0;
     8    0.071               0             229              25               0;
     9    0.080               0             278              39               0;
    10    0.089               0             330              56               0;
    11    0.097               0             385              78               0;
    12    0.106               0             440             105               0;
    13    0.115               0             497             136               0;
    14    0.124               0             554             172               0;
    15    0.133               0             611             212               0;
    16    0.142               0             666             255               0;
    17    0.151               0             720             302               0;
    18    0.159               0             772             350               0;
    19    0.168               0             825             400               0;
    20    0.177               0             877             450               0;
    21    0.186               0             929             500               0;
    22    0.195               0             980             549               0;
    23    0.204               0            1030             594               0;
    24    0.213               0            1078             637               0;
    25    0.221               0            1124             676               0;
    26    0.230               0            1168             710               0;
    27    0.239               0            1210             740               0;
    28    0.248               0            1250             765               0;
    29    0.257               0            1289             784               0;
    30    0.266               0            1324             797               0;
    31    0.274               0            1357             806               0;
    32    0.283               0            1387             810               0;
    33    0.292               0            1413             811               0;
    34    0.301               0            1433             807               0;
    35    0.310               0            1449             800               0;
    36    0.319               0            1459             790               0;
    37    0.328               0            1462             778               0;
    38    0.336               0            1461             765               0;
    39    0.345               0            1452             751               0;
    40    0.354               0            1436             737               0;
    41    0.363               0            1414             722               0;
    42    0.372               0            1387             706               0;
    43    0.381               0            1355             691               0;
    44    0.390               0            1319             676               0;
    45    0.398               0            1279             661               0;
    46    0.407               0            1237             645               0;
    47    0.416               0            1192             629               0;
    48    0.425               0            1145             611               0;
    49    0.434               0            1096             593               0;
    50    0.443               0            1046             573               0;
    51    0.452               0             995             552               0;
    52    0.460               0             944             529               0;
    53    0.469               0             894             504               0;
    54    0.478               0             847             477               0;
    55    0.487               0             802             449               0;
    56    0.496               0             761             418               0;
    57    0.505               0             722             387               0;
    58    0.514               0             686             356               0;
    59    0.522               0             653             324               0;
    60    0.531               0             623             293               0;
    61    0.540               0             594             263               0;
    62    0.549               0             567             235               0;
    63    0.558               0             542             209               0;
    64    0.567               0             517             186               0;
    65    0.576               0             495             166               0;
    66    0.584               0             475             150               0;
    67    0.593               0             458             138               0;
